case,restaurant,price,gReviews,gRating,ddReviews,ddRating,ddFee,yReviews,yRating,latitude,longitude,town
27,Panda Gourmet,2,152,4.2,227,4.5,4.99,16,3,42.7729422,-71.4446745,Hudson
20,Sun Asian Bistro,1,165,4.5,251,4.4,0.99,50,4,42.8762076,-71.3338709,Derry
37,Beijing Cuisines,2,151,4.2,288,4.4,0,27,3,42.9372643,-71.4537924,Manchester
72,Golden Dragon,2,310,2.7,300,4.1,1.99,58,2,42.7509013,-71.4601139,Nashua
17,Lei's Garden,2,151,3.8,301,4.1,4.99,30,2.5,42.8635607,-71.2882859,Derry
70,China City Express,2,36,3.2,311,4.7,0.99,5,3,42.7012441,-71.4363898,Nashua
8,Man Yee,2,261,4.2,356,4.2,1.99,5,2.5,43.1946211,-71.5391071,Concord
9,Man Yee Express,2,32,3.7,356,4.7,1.99,7,3.5,43.2139968,-71.5122625,Concord
31,Crazy Noodle,2,156,4.7,405,4.7,4.99,92,4,42.8660382,-71.3483768,Londonderry
99,Wasabi Steak,2,413,4.4,410,4.6,5.99,113,3,42.7925001,-71.2341667,Salem
75,Pan Asia,1,213,4.1,457,4.4,4.99,29,3,42.7703215,-71.4807975,Nashua
3,Taipei Tokyo,2,248,4.4,510,4.6,4.9,64,3,42.9643496,-71.4829714,Bedford
48,Heng Won,2,328,4.1,540,4.4,4.99,57,2.5,42.9817687,-71.4328064,Manchester
77,Pho Street,1,171,4.5,590,4.6,1.99,58,4.5,42.7875905,-71.5130399,Nashua
36,Bamboo Garden,2,258,4,630,4.5,1.99,47,2.5,42.9832085,-71.4490091,Manchester
55,New Wa Toy,2,407,4.2,670,4.6,4.99,40,3.5,42.9972173,-71.5122221,Manchester
47,Happy Garden,2,131,3.9,680,4.5,3.99,30,3,43.0199184,-71.4495716,Manchester
57,North Garden,2,484,4.3,730,4.6,4.99,80,3.5,42.9922342,-71.5028604,Manchester
10,Morimoto Japanese,2,501,4.5,760,4.7,4.99,159,4,43.2117411,-71.5298625,Concord
42,Chens Garden,2,569,4.3,800,4.4,0.99,130,3.5,42.9679481,-71.4797021,Manchester
66,China Max,2,53,3.4,800,4.5,5.99,12,3,42.8263932,-71.5002884,Merrimack
5,Beijing & Tokyo,2,302,4,820,4.6,4.99,68,4.5,43.2010981,-71.5336557,Concord
65,aRincha Thai,2,94,4.6,940,4.7,6.99,31,4,42.8258906,-71.5120489,Merrimack
1,Chen Yang Li,2,310,4.2,950,4.5,4.99,81,3,42.9533333,-71.4794444,Bedford
29,Asahi Restaurant,2,224,4.2,990,4.7,4.99,76,4,42.8675987,-71.3483126,Londonderry
84,Thon Khao Thai,2,158,4.2,1001,4.7,0.99,87,3.5,42.7878991,-71.5134585,Nashua
86,Yoshimama,2,475,4.6,1002,4.8,0.99,218,4.5,42.7876036,-71.5130458,Nashua
28,SoHo Asia,2,262,4,1010,4.5,3.99,61,3,42.7567362,-71.4320994,Hudson
101,Kumo Sushi,2,221,4.8,1010,4.7,4.99,93,4,42.8062061,-71.2958201,Windham
16,Dim Sum,1,97,3.7,1100,4.3,1.99,24,2.5,42.8904349,-71.3273251,Derry
7,Ichiban Japanese,2,1032,4.5,1200,4.7,0.99,101,3.5,43.1889316,-71.5058883,Concord
96,Tokyo Japanese,2,227,4.3,1201,4.6,1.99,73,3.5,42.7590802,-71.2113685,Salem
18,Lucky Panda,2,48,4,1300,4.5,1.99,10,3,42.8817661,-71.3242764,Derry
80,Sarku Japan,2,167,4,1300,4.6,2.99,12,3.5,42.7010171,-71.4369865,Nashua
51,Lemon Thai,2,98,4.6,1900,4.8,1.99,46,4,42.9759769,-71.4792565,Manchester
81,Shanghai Osaka,2,284,4.2,2000,4.6,1.99,94,3.5,42.7042233,-71.4435899,Nashua
76,Panda Express,2,276,3.6,2400,4.3,2.99,29,2.5,42.7130994,-71.4430347,Nashua
26,New Nan King,2,356,3.5,2500,4.6,5.99,58,3,42.7711761,-71.4116017,Hudson
85,Wok N Roll,2,107,4.3,2900,4.6,0.99,27,4,42.7538852,-71.4626963,Nashua
61,Thousand Crane,2,176,3.5,3700,4.6,1.99,99,3,42.9925592,-71.4636954,Manchester
50,Kisaki Japanese,2,590,4.4,3800,4.7,1.99,112,4,42.9873534,-71.4628392,Manchester
41,Cheng Du Kitchen,2,31,4.5,5900,4.7,3.99,41,3.5,43.0169591,-71.4498875,Manchester
103,Jade Garden,2,96,4.2,0,0,0,26,4,43.0482813,-71.4347835,Hooksett
